"COAL, Thousand Short Tons","NATURALGAS, Billion Cubic Feet","ELECTRICITY, Million Kilowatthours","PETRO_INDUSTRIAL, Thousand Barrels per Day","PETRO_COMMERCIAL, Thousand Barrels per Day","PETRO_RESIDENTIAL, Thousand Barrels per Day","PETRO_TRANSPORTATION, Thousand Barrels per Day","PETRO_ELECTRICPOWER, Thousand Barrels per Day","CO2, Million Metric Tons"
-0.0830791198037629,-1.6599630290123135,-0.7664818054353028,-1.4800778829401156,-0.3751634390401976,-0.9360712006897421,-1.346292065193375,0.49633127057290777,-1.4315555146136776
0.11897056406742865,-1.5829991174030782,-0.630377453433275,-1.2901527589306312,-0.1022805795010737,-0.8085378443087003,-1.2047355152189876,0.5193172299368739,-1.1511124837612334
-0.4419979971484079,-1.7083750546965308,-1.1104189433853557,-0.7074464877500689,-0.2173430195789778,-0.8223802235470336,-1.2369501639571618,0.18683989717796395,-1.7321169326389954
-0.6087181255190556,-1.580279501266628,-1.2874899397636268,-1.4671127240783755,0.015087541350585546,-0.5496324292667594,-1.370576724134171,-0.036001098724561906,-1.7404152613521515
-0.5529654000187529,-1.1938673752126217,-1.287015573989641,-1.1741086987304714,0.6660018007953304,-0.031741626218713716,-1.328305419106677,-0.07561092472647388,-1.4638380372904716
-0.02120108010687251,-0.46685599612989215,-0.8766807730098249,-1.5519697423592562,1.8783941759870688,0.8841463937199731,-1.0944795739432576,0.6725831916171775,-0.2647295382392983
0.0591388197928699,0.949649534928002,-0.8156793732566132,-0.6066073149284744,2.3471807589346945,1.3222476999927013,-1.440335705986388,0.6365230488614897,0.6024660521117283
-0.4607144064829315,0.16298423342885032,-1.1943018238011769,-1.137722745875388,1.0552608635992353,0.3712562530781631,-1.5443274261913007,0.05941579520966798,-0.7630138177251755
-0.34230275211887917,-0.07080475012079368,-1.0465958562573878,-1.0486175236008333,1.4559058740227344,0.5920145642140224,-1.321606336562513,0.05816077301176155,-0.4203940410024436
-0.6966193578632288,-0.5642619473473417,-1.312005196477429,-1.1971333648312608,0.4977187612554937,-0.10658926423791577,-1.1949292505041296,-0.27844197924917785,-1.1780516923397994
-0.6255499975407784,-1.080319318008102,-1.1560375980897801,-0.9256358722013297,0.11336652481221127,-0.4955565926160741,-1.1243886259272093,-0.20434596572327604,-1.340901333378971
-0.24450357774953616,-1.428393431904352,-0.9128205326808598,-1.058925413734676,-0.23586760812967136,-0.744726475344088,-1.045451020187268,0.16971899204579796,-1.407227243605836
-0.028077343366502187,-1.4755334449361608,-0.7514098209380105,-0.756266573967684,-0.31738951576190283,-0.7896595204740592,-1.181625259238056,0.020814543152278108,-1.231606272278855
0.15454424208761305,-1.472317682612655,-0.6396189142230649,-0.5916336805898886,-0.0003610474493088674,-0.6487824398077048,-1.0218233621476036,0.29713066805173827,-0.973204412081602
-0.3944144347993961,-1.6128516005344917,-1.11608320866174,-0.9955877755628759,0.1045553419925991,-0.4858728075142529,-1.3020397861166024,-0.24905043629094656,-1.710824635550601
-0.3634442516133214,-1.4186256814563194,-1.1756960307336568,-0.5591768881825806,0.1322709966940492,-0.4278289005534456,-1.2222357812119315,-0.2671239985370348,-1.3943344743612494
-0.3664413492041327,-0.9853859307105031,-1.1832446187411534,-1.6640610885612694,0.7986866065124592,0.2401288176017646,-1.2112772720836218,-0.06829617488653066,-1.194041154982223
